cnn_key,midblock_rows,midblock_measure_types,midblock_n_measure_types,midblock_units_total,midblock_first_install_dt,midblock_last_install_dt,midblock_complete_rows,midblock_has_complete,midblock_statuses,midblock_neighborhoods,latest_pci_score,latest_pci_change_dt,latest_functional_class,has_latest_pci,midblock_age_days_as_of_latest_pci
992000,1,['3-Lump Speed Cushion'],1,2.0,2021-02-01,2021-02-01,1,True,['Complete'],['Eureka Valley'],100.0,2024-04-16 14:22:26,Residential,True,1170.0
1005000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Outer Sunset'],69.0,2025-09-06 09:10:46,Residential,True,1650.0
1006000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Outer Sunset'],70.0,2025-09-06 09:10:46,Residential,True,1650.0
1007000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Outer Sunset'],82.0,2025-09-06 09:10:46,Residential,True,1650.0
1008000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Outer Sunset'],83.0,2025-09-06 09:10:46,Residential,True,1650.0
1011000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Outer Sunset'],100.0,2024-12-03 07:21:02,Residential,True,1373.0
1012000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Outer Sunset'],79.0,2025-09-06 09:10:46,Residential,True,1650.0
1013000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Outer Sunset'],81.0,2025-09-06 09:10:47,Residential,True,1650.0
1014000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Parkside'],81.0,2025-09-06 09:10:47,Residential,True,1650.0
1015000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Parkside'],81.0,2025-09-06 09:10:47,Residential,True,1650.0
1016000,1,['3-Lump Speed Cushion'],1,2.0,2021-04-01,2021-04-01,1,True,['Complete'],['Parkside'],81.0,2025-09-06 09:10:47,Residential,True,1619.0
1017000,1,['Speed Hump'],1,1.0,2015-07-01,2015-07-01,1,True,['Complete'],['Parkside'],79.0,2025-09-06 09:10:47,Residential,True,3720.0
1018000,1,['3-Lump Speed Cushion'],1,2.0,2021-04-01,2021-04-01,1,True,['Complete'],['Parkside'],82.0,2025-09-06 09:10:47,Residential,True,1619.0
1019000,1,['Speed Hump'],1,2.0,2015-11-01,2015-11-01,1,True,['Complete'],['Parkside'],80.0,2025-09-23 09:10:47,Residential,True,3614.0
1050000,1,['Speed Hump'],1,2.0,2024-09-01,2024-09-01,1,True,['Complete'],['Mission District'],77.0,2025-09-15 08:45:47,Residential,True,379.0
1051000,1,['Speed Hump'],1,1.0,2024-06-01,2024-06-01,1,True,['Complete'],['Mission District'],68.0,2025-09-15 08:45:47,Residential,True,471.0
1060000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Mission Dolores'],82.0,2025-09-29 09:10:47,Residential,True,
1061000,2,['Speed Hump'],1,4.0,2020-03-01,2020-06-01,1,True,"['Complete', 'Obsolete']",['Mission Dolores'],82.0,2025-09-16 09:10:48,Residential,True,2025.0
1071000,1,['Speed Bump'],1,1.0,,,1,True,['Complete'],['Lake'],90.0,2025-07-24 08:20:35,Residential,True,
1076000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Outer Richmond'],80.0,2025-07-24 08:20:35,Residential,True,
1078000,1,['3-Lump Speed Cushion'],1,2.0,2023-07-01,2023-07-01,1,True,['Complete'],['Outer Richmond'],78.0,2025-07-24 08:20:36,Residential,True,754.0
1095000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Merced Manor'],81.0,2025-09-22 09:10:49,Residential,True,
1102000,1,['3-Lump Speed Cushion'],1,1.0,2025-12-01,2025-12-01,1,True,['Complete'],['Mission District'],86.0,2025-09-15 08:45:48,Residential,True,-77.0
1113000,2,"['3-Lump Speed Cushion', 'Speed Bump']",2,4.0,2024-06-01,2024-06-01,1,True,"['Complete', 'Obsolete']",['Dolores Heights'],36.0,2025-09-15 08:45:48,Residential,True,471.0
1121000,1,['Speed Hump'],1,1.0,2008-04-01,2008-04-01,1,True,['Complete'],['Eureka Valley - Dolores Height'],89.0,2025-09-16 09:10:49,Residential,True,6377.0
1122000,1,['Speed Hump'],1,1.0,2008-04-01,2008-04-01,1,True,['Complete'],['Eureka Valley - Dolores Height'],91.0,2025-09-16 09:10:49,Residential,True,6377.0
1123000,1,['Speed Hump'],1,2.0,2021-01-01,2021-01-01,1,True,['Complete'],['Eureka Valley'],92.0,2025-09-16 09:10:49,Residential,True,1719.0
1133000,1,['Speed Hump'],1,2.0,2016-06-01,2016-06-01,1,True,['Complete'],['Central Richmond'],77.0,2024-06-03 10:47:24,Residential,True,2924.0
1151000,1,['3-Lump Speed Cushion'],1,2.0,2023-07-01,2023-07-01,1,True,['Complete'],['Parkside'],75.0,2025-09-06 09:10:50,Residential,True,798.0
1152000,1,['Speed Hump'],1,2.0,2018-06-01,2018-06-01,1,True,['Complete'],['Parkside'],83.0,2025-09-06 09:10:50,Residential,True,2654.0
1195000,1,['Speed Hump'],1,1.0,2021-02-01,2021-02-01,1,True,['Complete'],['Dolores Heights'],100.0,2024-07-17 10:06:46,Residential,True,1262.0
1198000,1,['Speed Hump'],1,1.0,,,1,True,['Complete'],['Dolores Heights'],100.0,2024-07-17 10:06:46,Residential,True,
1199000,2,['Speed Hump'],1,2.0,2023-09-01,2023-09-01,2,True,['Complete'],['Dolores Heights'],100.0,2024-07-17 10:06:46,Residential,True,320.0
1203000,1,['Speed Hump'],1,2.0,2017-06-01,2017-06-01,1,True,['Complete'],['Dolores Heights'],79.0,2025-09-29 09:10:50,Residential,True,3042.0
1204000,1,['Speed Hump'],1,2.0,2017-06-01,2017-06-01,1,True,['Complete'],['Eureka Valley'],81.0,2025-09-29 09:10:50,Residential,True,3042.0
1212000,1,['Speed Hump'],1,1.0,2016-06-01,2016-06-01,1,True,['Complete'],['Central Richmond'],72.0,2025-07-24 08:20:36,Residential,True,3340.0
1213000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Outer Richmond'],77.0,2025-07-24 08:20:36,Residential,True,1849.0
1224000,1,[],0,,,,0,False,['Pending design review and approval'],['Outer Sunset'],69.0,2025-09-06 09:10:51,Residential,True,
1265000,1,['Speed Table'],1,2.0,2025-12-01,2025-12-01,1,True,['Complete'],['Mission District'],70.0,2025-09-15 08:45:49,Residential,True,-77.0
1269000,1,['Speed Table'],1,1.0,,,0,False,['Pending design review and approval'],['Dolores Heights'],100.0,2025-01-23 00:00:00,Residential,True,
1270000,1,['Speed Table'],1,1.0,,,0,False,['Pending design review and approval'],['Dolores Heights'],100.0,2025-01-23 00:00:00,Residential,True,
1271000,1,['Speed Table'],1,1.0,,,0,False,['Pending construction'],['Dolores Heights'],100.0,2025-01-23 00:00:00,Residential,True,
1272000,1,['Speed Table'],1,1.0,,,0,False,['Pending construction'],['Dolores Heights'],100.0,2025-01-23 00:00:00,Residential,True,
1281000,1,['3-Lump Speed Cushion'],1,2.0,2022-04-01,2022-04-01,1,True,['Complete'],['Noe Valley'],70.0,2025-09-25 09:10:52,Residential,True,1273.0
1282000,1,['3-Lump Speed Cushion'],1,2.0,2023-09-01,2023-09-01,1,True,['Complete'],['Noe Valley'],64.0,2025-09-25 09:10:52,Residential,True,755.0
1283000,1,['5-Lump Speed Cushion'],1,2.0,2021-02-01,2021-02-01,1,True,['Complete'],['Noe Valley'],83.0,2025-09-25 09:10:52,Residential,True,1697.0
1286000,1,['3-Lump Speed Cushion'],1,2.0,2026-03-01,2026-03-01,1,True,['Complete'],['Noe Valley'],79.0,2025-09-25 09:10:52,Residential,True,-157.0
1291000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Lake'],81.0,2025-07-24 08:20:36,Residential,True,1849.0
1293000,1,['Speed Hump'],1,2.0,2025-11-01,2025-11-01,1,True,['Complete'],['Outer Richmond'],79.0,2025-07-24 08:20:36,Residential,True,-100.0
1294000,1,['Speed Hump'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Outer Richmond'],100.0,2024-03-20 13:37:35,Residential,True,1115.0
