"row_id","objectid","cnn","nhood","streetname","district","from_st","to_st","project_location","tc_measure","units","install_mo","install_yr","install_datetime","fiscal_yr","program","current_status","current_ti","next_step","next_step_2","shape","data_as_of","data_loaded_at"
"228","23906","8781000","St. Mary's Park","MARSILY ST","8","SAINT MARYS AVE","BOSWORTH ST","Marsily Street from Saint Marys Avenue to Bosworth Street","Speed Hump","1","10","2017","2017/10/01",,"SJA Side Streets","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.427401012 37.734507327, -122.427782457 37.734139721, -122.427695016 37.733553628)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"231","24029","8722000","Potrero Hill","MARIPOSA ST","10","ARKANSAS ST","CAROLINA ST","Mariposa Street from Arkansas Street to Carolina Street","Speed Hump","1","1","2021","2021/01/01","FY 2016-2017","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.398580417 37.763735728, -122.40051424 37.763619149)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"233","24067","8687000","Oceanview","MARGARET AVE","11","RIDGE LN","LAKEVIEW AVE","Margaret Avenue from Ridge Lane to Lakeview Avenue","Speed Hump","1","<Null>","<Null>",,"FY 2021-2022","App-Based","Pending construction","TBD","Completion","TBD","LINESTRING (-122.451585478 37.718577101, -122.451691614 37.718513369, -122.452641847 37.717375655)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"234","24094","8640201","Miraloma Park","MALTA DR","7","MERCATO CT","VALLETTA CT","Malta Drive from Mercato Court to Valletta Court","Speed Table","4","01","2026","2026/01/01","FY 2021-2022","App-Based","Complete",,,,"LINESTRING (-122.442988383 37.73491512, -122.443194472 37.734996596, -122.4435411 37.735158759, -122.44397805 37.735378136, -122.444144694 37.735489796, -122.444207862 37.735546278, -122.444234283 37.73564317, -122.444291868 37.735743977, -122.444327528 37.735844823, -122.444336923 37.736065948, -122.44440571 37.736218559)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"236","24102","8648000","Sunnyside","MANGELS AVE","8","BADEN ST","CONGO ST","Mangels Avenue from Baden Street to Congo Street","Speed Hump","2","4","2022","2022/04/01","FY 2019-2020","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.439752494 37.733111255, -122.440903148 37.733103839)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"237","24104","8650000","Sunnyside","MANGELS AVE","7","CONGO ST","DETROIT ST","Mangels Avenue from Congo Street to Detroit Street","Speed Hump","1","6","2021","2021/06/01","<Null>","Restoration after paving","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.442002319 37.733097956, -122.444320397 37.733087687)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"238","24105","8651000","Sunnyside","MANGELS AVE","7","DETROIT ST","EDNA ST","Mangels Avenue from Detroit Street to Edna Street","Speed Hump","1","6","2021","2021/06/01","<Null>","Restoration after paving","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.444320397 37.733087687, -122.446600966 37.733076985)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"239","24106","8652000","Sunnyside","MANGELS AVE","7","EDNA ST","FOERSTER ST","Mangels Avenue from Edna Street to Foerster Street","Speed Hump","1","6","2021","2021/06/01","<Null>","Restoration after paving","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.446600966 37.733076985, -122.448873386 37.733068718)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"240","24107","8653000","Sunnyside","MANGELS AVE","7","FOERSTER ST","GENNESSEE ST","Mangels Avenue from Foerster Street to Gennessee Street","Speed Hump","1","6","2021","2021/06/01","<Null>","Restoration after paving","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.448873386 37.733068718, -122.451160989 37.733058403)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"241","24108","8654000","Sunnyside","MANGELS AVE","7","GENNESSEE ST","RIDGEWOOD AVE","Mangels Avenue from Gennessee Street to Ridgewood Avenue","<Null>","<Null>","<Null>","<Null>",,"FY 2022-2023","App-Based","Pending design review and approval","Jul - Dec 2024","Pending construction","Jan - Jul 2025","LINESTRING (-122.451160989 37.733058403, -122.453333942 37.733048562, -122.453425005 37.733039617)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
